AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",detailed,100,3.9,1.413,5.58,,,20.92,43510,2,17.48,17.78,20.69,23.51,26.66,36350,36970,43020,48910,55450,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,53-0000,Transportation and Material Moving Occupations,major,4680,1.8,64.04,0.71,,,19.51,40580,0.6,12.48,14.98,17.77,22.76,28.17,25960,31160,36960,47340,58590,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",detailed,200,5.1,2.673,0.68,,,28.23,58710,1.4,18.21,21.03,25.04,35.58,37.99,37870,43740,52070,74000,79020,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,53-3031,Driver/Sales Workers,detailed,280,11.5,3.821,1.25,,,14.65,30470,3.3,8.6,9.86,13,18.42,23.51,17880,20510,27030,38320,48890,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,53-3032,Heavy and Tractor-Trailer Truck Drivers,detailed,620,3.8,8.481,0.63,,,26.58,55290,1.3,18.15,21.26,24.27,31.61,38.44,37750,44220,50480,65750,79960,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,53-3033,Light Truck Drivers,detailed,290,7,3.948,0.6,,,22.2,46180,2.4,11.32,14.23,20.81,26.11,42.14,23540,29590,43280,54320,87650,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,53-3051,"Bus Drivers, School",detailed,180,23.9,2.523,1.03,,,18.57,38620,4.4,10.63,14.79,19.49,22.9,23.72,22110,30750,40540,47630,49350,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,53-3053,Shuttle Drivers and Chauffeurs,detailed,150,8.5,2.121,1.57,,,15.33,31880,2.4,11.32,11.52,14.69,17.82,21.53,23540,23960,30540,37060,44770,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,53-6021,Parking Attendants,detailed,40,21.5,0.518,0.67,,,14.34,29840,2.9,10.8,11.57,14.89,16.27,17.24,22450,24070,30960,33850,35870,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,53-6031,Automotive and Watercraft Service Attendants,detailed,40,13.7,0.489,0.8,,,14.7,30570,1.3,13.15,13.83,14.07,16.28,17.22,27350,28760,29270,33850,35820,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,53-7051,Industrial Truck and Tractor Operators,detailed,270,6.3,3.651,0.71,,,21.31,44330,0.9,18.11,18.54,22.8,22.88,22.88,37670,38560,47410,47580,47580,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,53-7061,Cleaners of Vehicles and Equipment,detailed,120,5.2,1.656,0.69,,,16.56,34450,1.5,10.76,14.41,17.37,18.09,20.51,22390,29980,36130,37620,42660,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",detailed,1040,4.1,14.229,0.72,,,17.83,37080,1.2,13.38,15.25,17.25,19.54,22.61,27820,31720,35880,40630,47020,,
